,Problem,Time
0,Установка приложения,2022-11-24 17:08:20.931181
1,Регистрация и авторизация,2022-11-24 18:23:59.457763
2,Регистрация и авторизация,2022-11-24 18:25:11.970685
3,Промокоды,2022-11-24 18:41:27.986695
4,Регистрация и авторизация,2022-11-24 18:41:58.123451
5,Управление подписками,2022-11-24 19:00:47.329074
6,Оплата и возврат средств,2022-11-24 20:12:27.658884
7,Оплата и возврат средств,2022-11-24 20:14:43.295419
8,Настройки,2022-11-24 20:37:51.560330
9,Настройки,2022-11-24 20:42:56.381474
10,Настройки,2022-11-24 20:45:57.318844
11,Настройки,2022-11-24 20:51:03.122799
12,Настройки,2022-11-24 21:03:08.130956
13,Настройки,2022-11-24 21:03:51.395338
14,Настройки,2022-11-24 21:05:20.544203
15,Функции,2022-11-24 21:30:24.983685
16,Установка приложения,2022-11-24 21:33:42.524388
17,Wink для абонентов мобильной связи,2022-11-24 22:01:42.239558
18,Wink для абонентов мобильной связи,2022-11-24 22:02:19.263851
19,Wink для абонентов мобильной связи,2022-11-24 22:04:15.762981
20,Wink для абонентов мобильной связи,2022-11-24 22:05:49.746167
21,Wink для абонентов мобильной связи,2022-11-24 22:06:43.134412
22,Wink для абонентов мобильной связи,2022-11-24 22:07:32.974015
23,Wink для абонентов мобильной связи,2022-11-24 22:08:15.678788
24,Настройки,2022-11-24 22:15:18.671223
25,Wink для абонентов мобильной связи,2022-11-24 22:15:33.780521
26,Wink для абонентов мобильной связи,2022-11-24 22:19:11.806890
27,Wink для абонентов мобильной связи,2022-11-24 22:19:31.639699
28,Wink для абонентов мобильной связи,2022-11-24 22:19:51.171453
29,Wink для абонентов мобильной связи,2022-11-24 22:20:29.113263
30,Wink для абонентов мобильной связи,2022-11-24 22:20:36.831928
31,Wink для абонентов мобильной связи,2022-11-24 22:24:02.519944
32,Wink для абонентов мобильной связи,2022-11-24 22:25:10.273396
33,Приставка Wink+,2022-11-24 22:35:35.722413
34,Установка приложения,2022-11-24 23:25:50.628988
35,Промокоды,2022-11-24 23:41:03.711011
36,Функции,2022-11-24 23:44:50.379592
37,Установка приложения,2022-11-24 23:44:52.961859
38,Оплата и возврат средств,2022-11-25 00:03:32.813707
39,Управление подписками,2022-11-25 11:50:21.195855
40,Настройки,2022-11-25 11:50:37.642141
41,Промокоды,2022-11-25 14:10:05.110624
42,Промокоды,2022-11-25 14:10:05.769919
43,Установка приложения,2022-11-25 14:10:35.805143
44,Оплата и возврат средств,2022-11-25 14:10:41.809921
45,Оплата и возврат средств,2022-11-25 14:28:24.557536
46,Установка приложения,2022-11-25 15:29:23.929868
47,Настройки,2022-11-25 15:29:33.756454
48,Регистрация и авторизация,2022-11-25 15:30:34.125441
49,Установка приложения,2022-11-25 15:30:44.105251
50,Оплата и возврат средств,2022-11-25 15:30:54.413305
51,Установка приложения,2022-11-25 15:38:06.833388
52,Настройки,2022-11-25 16:01:49.788941
53,Функции,2022-11-25 17:27:08.835085
54,Установка приложения,2022-11-25 17:27:25.321497
55,Приставка Wink+,2022-11-25 17:27:28.964495
56,Установка приложения,2022-11-25 17:28:45.492775
57,Установка приложения,2022-11-25 17:29:48.149435
58,Приставка Wink+,2022-11-25 22:06:20.846940
59,Приставка Wink+,2022-11-25 22:07:16.256836
60,Приставка Wink+,2022-11-25 22:07:59.256163
61,Приставка Wink+,2022-11-25 22:10:19.427707
62,Настройки,2022-11-25 22:10:26.198698
63,Установка приложения,2022-11-25 22:10:32.749813
64,Wink для абонентов мобильной связи,2022-11-25 22:13:31.755855
65,Регистрация и авторизация,2022-11-26 00:08:14.921709
66,Промокоды,2022-11-26 10:46:21.102390
67,Установка приложения,2022-11-26 11:00:25.809222
68,Функции,2022-11-26 11:00:57.300168
69,Настройки,2022-11-26 11:05:45.197139
70,Настройки,2022-11-26 11:12:56.733040
71,Установка приложения,2022-11-26 11:25:26.284667
